"rules","support","confidence","coverage","lift","count"
"47","{YouthBks,CookBks,DoItYBks,ItalCook} => {ChildBks}",0.0245,0.790322580645161,0.031,1.86837489514223,49
"48","{ChildBks,YouthBks,CookBks,ItalCook} => {DoItYBks}",0.0245,0.532608695652174,0.046,1.88868331791551,49
"49","{ChildBks,CookBks,DoItYBks,ItalCook} => {YouthBks}",0.0245,0.532608695652174,0.046,2.15195432586737,49
"50","{ChildBks,YouthBks,GeogBks,ItalCook} => {CookBks}",0.03,1,0.03,2.32018561484919,60
"51","{YouthBks,CookBks,GeogBks,ItalCook} => {ChildBks}",0.03,0.869565217391304,0.0345,2.05570973378559,60
"52","{ChildBks,YouthBks,CookBks,ItalCook} => {GeogBks}",0.03,0.652173913043478,0.046,2.36294896030246,60
"53","{ChildBks,CookBks,GeogBks,ItalCook} => {YouthBks}",0.03,0.571428571428571,0.0525,2.30880230880231,60
"54","{DoItYBks,ArtBks,GeogBks,ItalCook} => {CookBks}",0.0215,1,0.0215,2.32018561484919,43
"55","{CookBks,DoItYBks,ArtBks,ItalCook} => {GeogBks}",0.0215,0.589041095890411,0.0365,2.13420686916816,43
"56","{CookBks,ArtBks,GeogBks,ItalCook} => {DoItYBks}",0.0215,0.597222222222222,0.036,2.11780929866036,43
"57","{CookBks,DoItYBks,GeogBks,ItalCook} => {ArtBks}",0.0215,0.623188405797101,0.0345,2.58584400745685,43
"58","{ChildBks,DoItYBks,ArtBks,ItalCook} => {CookBks}",0.0285,1,0.0285,2.32018561484919,57
"59","{CookBks,DoItYBks,ArtBks,ItalCook} => {ChildBks}",0.0285,0.780821917808219,0.0365,1.84591469931021,57
"60","{ChildBks,CookBks,ArtBks,ItalCook} => {DoItYBks}",0.0285,0.626373626373626,0.0455,2.2211830722469,57
"61","{ChildBks,CookBks,DoItYBks,ItalCook} => {ArtBks}",0.0285,0.619565217391304,0.046,2.57081003066931,57
"62","{ChildBks,ArtBks,GeogBks,ItalCook} => {CookBks}",0.03,1,0.03,2.32018561484919,60
"63","{CookBks,ArtBks,GeogBks,ItalCook} => {ChildBks}",0.03,0.833333333333333,0.036,1.97005516154452,60
"64","{ChildBks,CookBks,ArtBks,ItalCook} => {GeogBks}",0.03,0.659340659340659,0.0455,2.38891543239369,60
"65","{ChildBks,CookBks,GeogBks,ItalCook} => {ArtBks}",0.03,0.571428571428571,0.0525,2.371072910492,60
"66","{ChildBks,DoItYBks,GeogBks,ItalCook} => {CookBks}",0.027,1,0.027,2.32018561484919,54
"67","{CookBks,DoItYBks,GeogBks,ItalCook} => {ChildBks}",0.027,0.782608695652174,0.0345,1.85013876040703,54
"68","{ChildBks,CookBks,DoItYBks,ItalCook} => {GeogBks}",0.027,0.58695652173913,0.046,2.12665406427221,54
"69","{ChildBks,CookBks,GeogBks,ItalCook} => {DoItYBks}",0.027,0.514285714285714,0.0525,1.82370820668693,54
"70","{YouthBks,DoItYBks,RefBks,ArtBks} => {ChildBks}",0.0265,0.883333333333333,0.03,2.08825847123719,53
"71","{ChildBks,YouthBks,RefBks,ArtBks} => {DoItYBks}",0.0265,0.623529411764706,0.0425,2.21109720483938,53
"72","{ChildBks,YouthBks,DoItYBks,RefBks} => {ArtBks}",0.0265,0.5,0.053,2.0746887966805,53
"73","{ChildBks,DoItYBks,RefBks,ArtBks} => {YouthBks}",0.0265,0.576086956521739,0.046,2.3276240667545,53
"74","{ChildBks,YouthBks,DoItYBks,ArtBks} => {RefBks}",0.0265,0.519607843137255,0.051,2.42241418712007,53
"75","{YouthBks,DoItYBks,RefBks,ArtBks} => {CookBks}",0.0245,0.816666666666667,0.03,1.89481825212684,49
"76","{YouthBks,CookBks,RefBks,ArtBks} => {DoItYBks}",0.0245,0.620253164556962,0.0395,2.19947930693958,49
"77","{YouthBks,CookBks,DoItYBks,RefBks} => {ArtBks}",0.0245,0.505154639175258,0.0485,2.09607734097617,49
"78","{CookBks,DoItYBks,RefBks,ArtBks} => {YouthBks}",0.0245,0.576470588235294,0.0425,2.32917409387998,49
"79","{YouthBks,RefBks,ArtBks,GeogBks} => {ChildBks}",0.027,0.885245901639344,0.0305,2.09277990931287,54
"80","{ChildBks,YouthBks,RefBks,ArtBks} => {GeogBks}",0.027,0.635294117647059,0.0425,2.30179028132992,54
"81","{ChildBks,YouthBks,RefBks,GeogBks} => {ArtBks}",0.027,0.524271844660194,0.0515,2.17540184506305,54
"82","{ChildBks,RefBks,ArtBks,GeogBks} => {YouthBks}",0.027,0.545454545454545,0.0495,2.20385674931129,54
"83","{YouthBks,RefBks,ArtBks,GeogBks} => {CookBks}",0.0255,0.836065573770492,0.0305,1.93982731733293,51
"84","{YouthBks,CookBks,RefBks,ArtBks} => {GeogBks}",0.0255,0.645569620253165,0.0395,2.3390203632361,51
"85","{YouthBks,CookBks,RefBks,GeogBks} => {ArtBks}",0.0255,0.53125,0.048,2.20435684647303,51
"86","{CookBks,RefBks,ArtBks,GeogBks} => {YouthBks}",0.0255,0.554347826086957,0.046,2.23978919631094,51
"87","{ChildBks,YouthBks,RefBks,ArtBks} => {CookBks}",0.034,0.8,0.0425,1.85614849187935,68
"88","{YouthBks,CookBks,RefBks,ArtBks} => {ChildBks}",0.034,0.860759493670886,0.0395,2.03489242002574,68
"89","{ChildBks,YouthBks,CookBks,RefBks} => {ArtBks}",0.034,0.5,0.068,2.0746887966805,68
"90","{ChildBks,CookBks,RefBks,ArtBks} => {YouthBks}",0.034,0.557377049180328,0.061,2.25202848153668,68
"91","{ChildBks,YouthBks,CookBks,ArtBks} => {RefBks}",0.034,0.507462686567164,0.067,2.36579341056953,68
"92","{YouthBks,DoItYBks,RefBks,GeogBks} => {ChildBks}",0.03,0.923076923076923,0.0325,2.18221494817239,60
"93","{ChildBks,YouthBks,DoItYBks,RefBks} => {GeogBks}",0.03,0.566037735849057,0.053,2.05086136177194,60
"94","{ChildBks,YouthBks,RefBks,GeogBks} => {DoItYBks}",0.03,0.58252427184466,0.0515,2.06568890725057,60
"95","{ChildBks,DoItYBks,RefBks,GeogBks} => {YouthBks}",0.03,0.571428571428571,0.0525,2.30880230880231,60
"96","{ChildBks,YouthBks,DoItYBks,GeogBks} => {RefBks}",0.03,0.530973451327434,0.0565,2.4754007054892,60
"97","{YouthBks,DoItYBks,RefBks,GeogBks} => {CookBks}",0.029,0.892307692307692,0.0325,2.07031947171158,58
"98","{YouthBks,CookBks,DoItYBks,RefBks} => {GeogBks}",0.029,0.597938144329897,0.0485,2.16644255191992,58
"99","{YouthBks,CookBks,RefBks,GeogBks} => {DoItYBks}",0.029,0.604166666666667,0.048,2.14243498817967,58
"100","{CookBks,DoItYBks,RefBks,GeogBks} => {YouthBks}",0.029,0.585858585858586,0.0495,2.36710539740843,58
"101","{ChildBks,YouthBks,DoItYBks,RefBks} => {CookBks}",0.044,0.830188679245283,0.053,1.92619183119555,88
"102","{YouthBks,CookBks,DoItYBks,RefBks} => {ChildBks}",0.044,0.907216494845361,0.0485,2.14471984597012,88
"103","{ChildBks,YouthBks,CookBks,RefBks} => {DoItYBks}",0.044,0.647058823529412,0.068,2.29453483521068,88
"104","{ChildBks,CookBks,DoItYBks,RefBks} => {YouthBks}",0.044,0.590604026845638,0.0745,2.38627889634601,88
"105","{ChildBks,YouthBks,CookBks,DoItYBks} => {RefBks}",0.044,0.536585365853659,0.082,2.50156347717323,88
"106","{ChildBks,YouthBks,RefBks,GeogBks} => {CookBks}",0.044,0.854368932038835,0.0515,1.98229450589057,88
"107","{YouthBks,CookBks,RefBks,GeogBks} => {ChildBks}",0.044,0.916666666666667,0.048,2.16706067769898,88
"108","{ChildBks,YouthBks,CookBks,RefBks} => {GeogBks}",0.044,0.647058823529412,0.068,2.34441602728048,88
"109","{ChildBks,CookBks,RefBks,GeogBks} => {YouthBks}",0.044,0.560509554140127,0.0785,2.26468506723284,88
"110","{ChildBks,YouthBks,CookBks,GeogBks} => {RefBks}",0.044,0.530120481927711,0.083,2.47142415817115,88
"111","{DoItYBks,RefBks,ArtBks,GeogBks} => {ChildBks}",0.0275,0.859375,0.032,2.03161938534279,55
"112","{ChildBks,DoItYBks,RefBks,ArtBks} => {GeogBks}",0.0275,0.597826086956522,0.046,2.16603654694392,55
"113","{ChildBks,RefBks,ArtBks,GeogBks} => {DoItYBks}",0.0275,0.555555555555556,0.0495,1.97005516154452,55
"114","{ChildBks,DoItYBks,RefBks,GeogBks} => {ArtBks}",0.0275,0.523809523809524,0.0525,2.17348350128433,55
"115","{DoItYBks,RefBks,ArtBks,GeogBks} => {CookBks}",0.0275,0.859375,0.032,1.99390951276102,55
"116","{CookBks,DoItYBks,RefBks,ArtBks} => {GeogBks}",0.0275,0.647058823529412,0.0425,2.34441602728048,55
"117","{CookBks,RefBks,ArtBks,GeogBks} => {DoItYBks}",0.0275,0.597826086956522,0.046,2.11995066296639,55
"118","{CookBks,DoItYBks,RefBks,GeogBks} => {ArtBks}",0.0275,0.555555555555556,0.0495,2.30520977408944,55
"119","{ChildBks,DoItYBks,RefBks,ArtBks} => {CookBks}",0.037,0.804347826086957,0.046,1.86623625542217,74
"120","{CookBks,DoItYBks,RefBks,ArtBks} => {ChildBks}",0.037,0.870588235294118,0.0425,2.05812821582534,74
"121","{ChildBks,CookBks,RefBks,ArtBks} => {DoItYBks}",0.037,0.60655737704918,0.061,2.15091268457156,74
"122","{ChildBks,RefBks,ArtBks,GeogBks} => {CookBks}",0.0405,0.818181818181818,0.0495,1.89833368487661,81
"123","{CookBks,RefBks,ArtBks,GeogBks} => {ChildBks}",0.0405,0.880434782608696,0.046,2.08140610545791,81
"124","{ChildBks,CookBks,RefBks,ArtBks} => {GeogBks}",0.0405,0.663934426229508,0.061,2.4055595153243,81
"125","{ChildBks,CookBks,RefBks,GeogBks} => {ArtBks}",0.0405,0.515923566878981,0.0785,2.14076168829453,81
"126","{ChildBks,DoItYBks,RefBks,GeogBks} => {CookBks}",0.045,0.857142857142857,0.0525,1.98873052701359,90
"127","{CookBks,DoItYBks,RefBks,GeogBks} => {ChildBks}",0.045,0.909090909090909,0.0495,2.1491510853213,90
"128","{ChildBks,CookBks,DoItYBks,RefBks} => {GeogBks}",0.045,0.604026845637584,0.0745,2.18850306390429,90
"129","{ChildBks,CookBks,RefBks,GeogBks} => {DoItYBks}",0.045,0.573248407643312,0.0785,2.03279577178479,90
"130","{ChildBks,CookBks,DoItYBks,GeogBks} => {RefBks}",0.045,0.50561797752809,0.089,2.35719336842932,90
"131","{YouthBks,DoItYBks,ArtBks,GeogBks} => {ChildBks}",0.0335,0.848101265822785,0.0395,2.00496753149595,67
"132","{ChildBks,YouthBks,DoItYBks,ArtBks} => {GeogBks}",0.0335,0.656862745098039,0.051,2.37993748223927,67
"133","{ChildBks,YouthBks,ArtBks,GeogBks} => {DoItYBks}",0.0335,0.609090909090909,0.055,2.1598968407479,67
"134","{ChildBks,YouthBks,DoItYBks,GeogBks} => {ArtBks}",0.0335,0.592920353982301,0.0565,2.46025043146183,67
"135","{ChildBks,DoItYBks,ArtBks,GeogBks} => {YouthBks}",0.0335,0.563025210084034,0.0595,2.27484933367286,67
"136","{YouthBks,DoItYBks,ArtBks,GeogBks} => {CookBks}",0.037,0.936708860759494,0.0395,2.17333842403595,74
"137","{YouthBks,CookBks,DoItYBks,ArtBks} => {GeogBks}",0.037,0.704761904761905,0.0525,2.55348516218081,74
"138","{YouthBks,CookBks,ArtBks,GeogBks} => {DoItYBks}",0.037,0.660714285714286,0.056,2.34295845997974,74
"139","{YouthBks,CookBks,DoItYBks,GeogBks} => {ArtBks}",0.037,0.616666666666667,0.06,2.55878284923928,74
"140","{CookBks,DoItYBks,ArtBks,GeogBks} => {YouthBks}",0.037,0.569230769230769,0.065,2.2999222999223,74
"141","{ChildBks,YouthBks,DoItYBks,ArtBks} => {CookBks}",0.0445,0.872549019607843,0.051,2.02447568354488,89
"142","{YouthBks,CookBks,DoItYBks,ArtBks} => {ChildBks}",0.0445,0.847619047619048,0.0525,2.00382753574243,89
"143","{ChildBks,YouthBks,CookBks,ArtBks} => {DoItYBks}",0.0445,0.664179104477612,0.067,2.35524505133905,89
"144","{ChildBks,YouthBks,CookBks,DoItYBks} => {ArtBks}",0.0445,0.542682926829268,0.082,2.25179637688493,89
"145","{ChildBks,CookBks,DoItYBks,ArtBks} => {YouthBks}",0.0445,0.542682926829268,0.082,2.19265829021927,89
"146","{ChildBks,YouthBks,ArtBks,GeogBks} => {CookBks}",0.0465,0.845454545454545,0.055,1.9616114743725,93
"147","{YouthBks,CookBks,ArtBks,GeogBks} => {ChildBks}",0.0465,0.830357142857143,0.056,1.96301925025329,93
"148","{ChildBks,YouthBks,CookBks,ArtBks} => {GeogBks}",0.0465,0.694029850746269,0.067,2.51460090850097,93
"149","{ChildBks,YouthBks,CookBks,GeogBks} => {ArtBks}",0.0465,0.560240963855422,0.083,2.32465130230465,93
"150","{ChildBks,CookBks,ArtBks,GeogBks} => {YouthBks}",0.0465,0.55688622754491,0.0835,2.25004536381782,93
"151","{ChildBks,YouthBks,DoItYBks,GeogBks} => {CookBks}",0.051,0.902654867256637,0.0565,2.09432683818245,102
"152","{YouthBks,CookBks,DoItYBks,GeogBks} => {ChildBks}",0.051,0.85,0.06,2.00945626477541,102
"153","{ChildBks,YouthBks,CookBks,DoItYBks} => {GeogBks}",0.051,0.621951219512195,0.082,2.25344644750795,102
"154","{ChildBks,YouthBks,CookBks,GeogBks} => {DoItYBks}",0.051,0.614457831325301,0.083,2.17892847987695,102
"155","{ChildBks,CookBks,DoItYBks,GeogBks} => {YouthBks}",0.051,0.573033707865168,0.089,2.31528770854614,102
"156","{ChildBks,DoItYBks,ArtBks,GeogBks} => {CookBks}",0.0535,0.899159663865546,0.0595,2.08621731755347,107
"157","{CookBks,DoItYBks,ArtBks,GeogBks} => {ChildBks}",0.0535,0.823076923076923,0.065,1.94580832878705,107
"158","{ChildBks,CookBks,DoItYBks,ArtBks} => {GeogBks}",0.0535,0.652439024390244,0.082,2.3639095086603,107
"159","{ChildBks,CookBks,ArtBks,GeogBks} => {DoItYBks}",0.0535,0.640718562874252,0.0835,2.27205164139806,107
